trial_id,dataset,image_path,question_text,correct_answer_text,think_aloud,stimuli_image_path
1,VisualGenome,images/trial_00001.png,What color is the first kite?,Blue and red.,False,stimuli/VisualGenome/images/2358132.jpg
2,ScienceQA,images/trial_00002.png,Which property do these three objects have in common?,sticky,False,stimuli/ScienceQA/images/train/19510/image.png
3,VisualGenome,images/trial_00003.png,When was the photo taken?,Daytime.,False,stimuli/VisualGenome/images/2322871.jpg
4,GQA,images/trial_00004.png,What the hanging device is called?,screen,False,stimuli/GQA/images/2369278.jpg
5,VisualGenome,images/trial_00005.png,What color are bushes?,Green.,False,stimuli/VisualGenome/images/2321797.jpg
6,DocVQA-Infographics,images/trial_00006.png,How many career opportunities are available in hospitality industry?,5,False,stimuli/DocVQA/Infographics/infographicsvqa_images/31136.jpeg
7,VisualGenome,images/trial_00007.png,How many wheels are in this picture?,Two.,False,stimuli/VisualGenome/images/2356249.jpg
8,VisualGenome,images/trial_00008.png,What kind of pants is the man in red wearing?,Slacks.,False,stimuli/VisualGenome/images/2371985.jpg
9,VisualGenome,images/trial_00009.png,What animal in the picture is grey?,Turkey.,False,stimuli/VisualGenome/images/2327379.jpg
10,CLEVR,images/trial_00010.png,Is there a brown cube that has the same material as the tiny green object?,no,False,stimuli/CLEVR/images/CLEVR_val_013500.png
11,GQA,images/trial_00011.png,What kind of clothing is blue?,outfit,False,stimuli/GQA/images/2410549.jpg
12,CLEVR,images/trial_00012.png,What number of metallic objects are either blue things or cubes?,0,False,stimuli/CLEVR/images/CLEVR_val_006513.png
13,VisualGenome,images/trial_00013.png,What is the man riding on?,A snowboard.,False,stimuli/VisualGenome/images/2334031.jpg
14,VisualGenome,images/trial_00014.png,How many planes are shown?,One.,False,stimuli/VisualGenome/images/2345540.jpg
15,ChartQA,images/trial_00015.png,What was the U.S. average freight revenue per ton-mile in domestic air traffic in dollar cents in 2018?,137.49,False,stimuli/ChartQA/train/png/two_col_100547.png
16,VisualGenome,images/trial_00016.png,What color is the keyboard?,It is black.,False,stimuli/VisualGenome/images/2337082.jpg
17,CLEVR,images/trial_00017.png,The tiny metallic block is what color?,blue,False,stimuli/CLEVR/images/CLEVR_val_002318.png
18,CLEVR,images/trial_00018.png,Are there any tiny green rubber objects that are behind the brown shiny thing that is behind the block that is in front of the brown cylinder?,no,False,stimuli/CLEVR/images/CLEVR_val_000926.png
19,VisualGenome,images/trial_00019.png,When was the photo taken?,Daytime.,False,stimuli/VisualGenome/images/2349879.jpg
20,ChartQA,images/trial_00020.png,In what year did Indonesia see a decrease in the proportion of women in ministerial positions?,2019,False,stimuli/ChartQA/train/png/two_col_62056.png
21,CLEVR,images/trial_00021.png,The other block that is made of the same material as the tiny block is what color?,purple,False,stimuli/CLEVR/images/CLEVR_val_012568.png
22,VisualGenome,images/trial_00022.png,Where is the picture set?,Above the city streets.,False,stimuli/VisualGenome/images/1159678.jpg
23,GQA,images/trial_00023.png,Is the mug on the left?,no,False,stimuli/GQA/images/2378836.jpg
24,VisualGenome,images/trial_00024.png,What animals are in this photo?,Birds.,False,stimuli/VisualGenome/images/2339865.jpg
25,VisualGenome,images/trial_00025.png,How many windows can be seen in the building?,Seven.,False,stimuli/VisualGenome/images/2324759.jpg
26,VisualGenome,images/trial_00026.png,How many street signs?,One.,False,stimuli/VisualGenome/images/2324666.jpg
27,ChartQA,images/trial_00027.png,How many trade fairs were there in France in 2018?,370,False,stimuli/ChartQA/train/png/two_col_102705.png
28,GQA,images/trial_00028.png,Is the American flag in the bottom part or in the top of the image?,bottom,False,stimuli/GQA/images/2318191.jpg
29,DocVQA-SinglePage,images/trial_00029.png,What is the Total?,"55,216.28",False,stimuli/DocVQA/SinglePage/spdocvqa_images/qjgn0226_33.png
30,VisualGenome,images/trial_00030.png,How is he?,In motion.,False,stimuli/VisualGenome/images/2318903.jpg
